set,just.rise,ntemp,colds,hots,opts,response,just.rise1,ntemp1,colds1,hots1,opts1,response1,is.min.at.hottest
779,FALSE,5,3,1,1,dr,FALSE,5,2,2,1,survival,FALSE
780,FALSE,7,4,2,3,dr,FALSE,7,3,3,2,survival,FALSE
780,FALSE,7,4,2,3,dr,FALSE,7,3,3,2,survival,FALSE
780,FALSE,7,4,2,3,dr,FALSE,7,3,3,2,survival,TRUE
782,TRUE,7,6,0,1,dr,FALSE,7,4,2,2,survival,TRUE
783,TRUE,7,6,0,1,dr,FALSE,7,2,4,1,survival,TRUE
784,TRUE,6,5,0,1,dr,FALSE,6,0,5,1,survival,TRUE
786,FALSE,6,4,1,1,dr,FALSE,6,4,1,1,survival,FALSE
787,FALSE,6,4,1,1,dr,FALSE,6,4,1,1,survival,FALSE
788,FALSE,6,3,2,1,dr,FALSE,6,1,4,1,survival,FALSE
800,TRUE,4,3,0,1,dr,FALSE,4,2,1,1,survival,TRUE
806,TRUE,4,3,0,1,dr,FALSE,4,2,1,1,survival,TRUE
816,TRUE,6,5,0,1,dr,FALSE,6,3,2,1,survival,TRUE
817,FALSE,5,3,1,1,dr,FALSE,5,1,3,1,survival,FALSE
824,FALSE,5,3,1,1,dr,TRUE,5,4,0,1,survival,FALSE
825,TRUE,5,4,0,1,dr,FALSE,5,2,2,1,survival,TRUE
827,FALSE,5,3,1,1,dr,FALSE,5,3,1,1,survival,FALSE
828,FALSE,5,3,1,1,dr,FALSE,5,2,2,1,survival,FALSE
829,FALSE,7,4,2,3,dr,FALSE,7,0,6,1,survival,FALSE
829,FALSE,7,4,2,3,dr,FALSE,7,0,6,1,survival,FALSE
829,FALSE,7,4,2,3,dr,FALSE,7,0,6,1,survival,TRUE
833,TRUE,7,6,0,1,dr,FALSE,7,4,2,1,survival,TRUE
835,TRUE,7,6,0,1,dr,FALSE,7,3,3,1,survival,TRUE
841,TRUE,7,6,0,1,dr,FALSE,7,2,4,1,survival,TRUE
848,FALSE,10,5,4,2,dr,FALSE,10,0,9,7,survival,FALSE
848,FALSE,10,5,4,2,dr,FALSE,10,0,9,7,survival,FALSE
855,FALSE,10,6,3,1,dr,FALSE,10,4,5,1,survival,FALSE
856,FALSE,10,5,4,1,dr,FALSE,10,0,9,3,survival,FALSE
933,FALSE,7,5,1,1,dr,FALSE,7,3,3,1,survival,FALSE
935,FALSE,7,5,1,1,dr,FALSE,7,0,6,1,survival,FALSE
936,FALSE,7,5,1,1,dr,FALSE,7,4,2,1,survival,FALSE
941,FALSE,6,4,1,1,dr,FALSE,6,0,5,2,survival,FALSE
959,TRUE,6,5,0,1,dr,FALSE,6,0,5,1,survival,TRUE
961,FALSE,6,4,1,1,dr,FALSE,6,4,1,1,survival,FALSE
962,FALSE,6,4,1,1,dr,FALSE,6,4,1,1,survival,FALSE
1024,FALSE,10,6,3,1,dr,FALSE,10,0,9,4,survival,FALSE
1025,FALSE,10,8,1,1,dr,FALSE,10,0,9,5,survival,FALSE
1026,FALSE,10,6,3,1,dr,FALSE,10,0,9,5,survival,FALSE
1027,FALSE,9,7,1,1,dr,FALSE,9,5,3,1,survival,FALSE
1035,FALSE,9,7,1,1,dr,FALSE,9,5,3,1,survival,FALSE
1037,FALSE,9,7,1,1,dr,FALSE,9,5,3,1,survival,FALSE
1065,FALSE,7,4,2,1,dr,FALSE,7,2,4,1,survival,FALSE
1067,FALSE,7,4,2,1,dr,FALSE,7,2,4,1,survival,FALSE
1068,FALSE,7,4,2,1,dr,FALSE,7,2,4,1,survival,FALSE
1069,TRUE,5,4,0,1,dr,FALSE,5,3,1,1,survival,TRUE
1076,TRUE,4,3,0,1,dr,FALSE,4,2,1,1,survival,TRUE
1079,FALSE,8,4,3,2,dr,FALSE,8,3,4,1,survival,FALSE
1079,FALSE,8,4,3,2,dr,FALSE,8,3,4,1,survival,FALSE
1087,FALSE,6,4,1,1,dr,FALSE,6,2,3,1,survival,FALSE
1088,FALSE,6,4,1,1,dr,FALSE,6,2,3,1,survival,FALSE
1089,FALSE,8,5,2,2,dr,FALSE,8,3,4,1,survival,FALSE
1089,FALSE,8,5,2,2,dr,FALSE,8,3,4,1,survival,FALSE
1096,FALSE,8,6,1,1,dr,FALSE,8,2,5,1,survival,FALSE
1097,FALSE,8,5,2,2,dr,FALSE,8,5,2,1,survival,FALSE
1097,FALSE,8,5,2,2,dr,FALSE,8,5,2,1,survival,FALSE
1098,FALSE,7,4,2,1,dr,FALSE,7,2,4,1,survival,FALSE
1102,FALSE,6,4,1,1,dr,FALSE,6,2,3,1,survival,FALSE
1105,FALSE,6,4,1,1,dr,FALSE,6,2,3,1,survival,FALSE
1111,TRUE,4,3,0,1,dr,FALSE,4,0,3,4,survival,TRUE
1121,FALSE,4,2,1,1,dr,TRUE,4,3,0,1,survival,FALSE
1122,FALSE,6,4,1,1,dr,FALSE,6,3,2,1,survival,FALSE
1128,FALSE,6,4,1,1,dr,FALSE,6,3,2,1,survival,FALSE
1129,FALSE,6,4,1,1,dr,FALSE,6,3,2,1,survival,FALSE
1130,FALSE,6,4,1,1,dr,FALSE,6,3,2,1,survival,FALSE
1131,FALSE,6,4,1,1,dr,FALSE,6,3,2,1,survival,FALSE
1132,FALSE,6,4,1,1,dr,FALSE,6,3,2,1,survival,FALSE
1133,FALSE,6,4,1,1,dr,FALSE,6,3,2,1,survival,FALSE
1134,FALSE,6,4,1,1,dr,FALSE,6,2,3,1,survival,FALSE
1135,FALSE,6,4,1,1,dr,FALSE,6,3,2,1,survival,FALSE
1136,FALSE,6,4,1,1,dr,FALSE,6,3,2,1,survival,FALSE
1140,FALSE,6,4,1,1,dr,FALSE,6,3,2,1,survival,FALSE
1141,FALSE,6,4,1,1,dr,FALSE,6,3,2,1,survival,FALSE
1142,FALSE,6,4,1,1,dr,FALSE,6,3,2,1,survival,FALSE
1143,FALSE,6,4,1,1,dr,FALSE,6,3,2,1,survival,FALSE
1179,FALSE,6,4,1,2,dr,FALSE,6,1,4,2,survival,FALSE
1179,FALSE,6,4,1,2,dr,FALSE,6,1,4,2,survival,TRUE
1183,TRUE,5,4,0,1,dr,FALSE,5,2,2,3,survival,TRUE
1196,TRUE,5,4,0,1,dr,FALSE,5,1,3,1,survival,TRUE
1197,FALSE,5,3,1,1,dr,FALSE,5,2,2,1,survival,FALSE
1198,FALSE,5,3,1,1,dr,FALSE,5,3,1,1,survival,FALSE
1206,FALSE,7,4,2,2,dr,FALSE,7,2,4,1,survival,FALSE
1206,FALSE,7,4,2,2,dr,FALSE,7,2,4,1,survival,FALSE
1217,FALSE,8,5,2,1,dr,FALSE,8,3,4,1,survival,FALSE
1222,FALSE,8,5,2,1,dr,FALSE,8,4,3,1,survival,FALSE
1227,TRUE,4,3,0,1,dr,FALSE,4,1,2,1,survival,TRUE
1229,TRUE,4,3,0,1,dr,FALSE,4,1,2,1,survival,TRUE
1230,TRUE,4,3,0,1,dr,FALSE,4,1,2,1,survival,TRUE
1270,FALSE,10,7,2,1,dr,FALSE,10,3,6,2,survival,FALSE
1281,FALSE,8,5,2,2,dr,FALSE,8,1,6,1,survival,FALSE
1281,FALSE,8,5,2,2,dr,FALSE,8,1,6,1,survival,FALSE
1282,FALSE,8,5,2,1,dr,FALSE,8,2,5,1,survival,FALSE
1283,FALSE,8,5,2,1,dr,FALSE,8,1,6,2,survival,FALSE
1287,TRUE,5,4,0,1,dr,FALSE,5,0,4,5,survival,TRUE
1294,TRUE,4,3,0,1,dr,FALSE,4,0,3,4,survival,TRUE
1301,TRUE,4,3,0,1,dr,FALSE,4,0,3,4,survival,TRUE
